8188fu-dkms-git r13.586d795-1
klines 23.08.2-1
kmag 23.08.2-1
kmahjongg 23.08.2-1
kmail 23.08.2-1
kmail-account-wizard 23.08.2-1
kmailtransport 23.08.2-1
kmbox 23.08.2-1
kmenuedit 5.27.9-1
kmime 23.08.2-1
kmines 23.08.2-1
kmix 23.08.2-1
kmod 31-1
kmousetool 23.08.2-1
kmouth 23.08.2-1
kmplot 23.08.2-1
knavalbattle 23.08.2-1
knetwalk 23.08.2-1
knewstuff5 5.111.0-1
knights 23.08.2-1
knotes 23.08.2-1
knotifications5 5.111.0-1
knotifyconfig5 5.111.0-1
koko 23.08.2-1
kolf 23.08.2-1
kollision 23.08.2-1
kolourpaint 23.08.2-1
kompare 23.08.2-1
kongress 23.08.2-1
konqueror 23.08.2-1
konquest 23.08.2-1
konsole 23.08.2-1
kontact 23.08.2-1
kontactinterface 23.08.2-1
kontrast 23.08.2-1
konversation 23.08.2-1
kopeninghours 23.08.2-1
kopete 23.08.2-1
korganizer 23.08.2-1
kosmindoormap 23.08.2-1
kpackage5 5.111.0-1
kparts5 5.111.0-1
kpat 23.08.2-1
kpeople5 5.111.0-1
kpeoplevcard 0.1-2
kpimtextedit 23.08.2-1
kpipewire 5.27.9-1
kpkpass 23.08.2-1
kplotting5 5.111.0-1
kpmcore 23.08.2-1
kpty5 5.111.0-1
kpublictransport 23.08.2-1
kqtquickcharts 23.08.2-1
kquickcharts5 5.111.0-1
kquickimageeditor 0.2.0-1
krb5 1.20.1-2
krdc 23.08.2-1
krecorder 23.08.2-2
kreversi 23.08.2-1
krfb 23.08.2-1
kross 5.111.0-1
kruler 23.08.2-1
krunner5 5.111.0-1
ksanecore 23.08.2-1
kscreen 5.27.9-1
kscreenlocker 5.27.9-1
kservice5 5.111.0-1
kshisen 23.08.2-1
ksirk 23.08.2-1
ksmtp 23.08.2-1
ksnakeduel 23.08.2-1
kspaceduel 23.08.2-1
ksquares 23.08.2-1
ksshaskpass 5.27.9-1
ksudoku 23.08.2-1
ksystemlog 23.08.2-1
ksystemstats 5.27.9-1
kteatime 23.08.2-1
ktextaddons 1.5.2-2
ktexteditor5 5.111.0-1
ktextwidgets5 5.111.0-1
ktimer 23.08.2-1
ktnef 23.08.2-1
ktorrent 23.08.2-1
ktouch 23.08.2-1
ktrip 23.08.2-2
ktuberling 23.08.2-1
kturtle 23.08.2-1
kubrick 23.08.2-1
kunitconversion5 5.111.0-1
kuserfeedback 1.2.0-1
kwallet-pam 5.27.9-1
kwallet5 5.111.0-1
kwalletmanager 23.08.2-1
kwave 23.08.2-1
kwayland-integration 5.27.9-1
kwayland5 5.111.0-1
kweather 23.08.2-2
kweathercore 0.7-3
kwidgetsaddons5 5.111.0-1
kwin 5.27.9-1
kwindowsystem5 5.111.0-1
kwordquiz 23.08.2-2
kwrited 5.27.9-1
kxmlgui5 5.111.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-3
layer-shell-qt 5.27.9-1
lcalc 2.0.5-2
lcms2 2.15-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
leptonica 1.83.1-1
less 1:643-1
lib32-acl 2.3.1-2
lib32-alsa-lib 1.2.10-2
lib32-alsa-plugins 1.2.7.1-2
lib32-amdvlk 2023.Q4.1-1
lib32-attr 2.5.1-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.4.0-2
lib32-dbus 1.14.10-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-faudio 23.10-1
lib32-fontconfig 2:2.14.2-1
lib32-freetype2 2.13.2-1
lib32-gcc-libs 13.2.1-3
lib32-gettext 0.22.3-1
lib32-glib2 2.78.1-1
lib32-glibc 2.38-7
lib32-glu 9.0.3-1
lib32-harfbuzz 8.2.2-1
lib32-icu 73.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-lcms2 2.15-1
lib32-libcap 2.69-1
lib32-libdrm 2.4.117-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.47-1
lib32-libice 1.1.1-1
lib32-libidn2 2.3.4-2
lib32-libjpeg-turbo 3.0.1-1
lib32-libldap 2.6.6-1
lib32-libnl 3.8.0-1
lib32-libpcap 1.10.4-1
lib32-libpciaccess 0.17-1
lib32-libpng 1.6.40-2
lib32-libpng12 1.2.59-2
lib32-libpsl 0.21.2-1
lib32-libsm 1.2.4-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libtiff 4.6.0-1
lib32-libtirpc 1.3.4-1
lib32-libunistring 1.1-1
lib32-libunwind 1.7.2-1
lib32-libx11 1.8.7-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcrypt 4.4.36-1
lib32-libxcursor 1.2.1-2
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxi 1.8.1-1
lib32-libxml2 2.11.5-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-1
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.4-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:23.2.1-2
lib32-ncurses 6.4_20230520-1
lib32-nspr 4.35-1
lib32-nss 3.94-1
lib32-openssl 1:3.1.4-1
lib32-p11-kit 0.25.1-1
lib32-pam 1.5.3-1
lib32-pcre 8.45-3
lib32-pcre2 10.42-1
lib32-readline 8.2.001-2
lib32-sdl2 2.28.4-1
lib32-sqlite 3.43.2-1
lib32-systemd 254.5-1
lib32-util-linux 2.39.2-1
lib32-vulkan-icd-loader 1.3.269-1
lib32-wayland 1.22.0-1
lib32-xz 5.4.4-1
lib32-zlib 1.3-1
lib32-zstd 1.5.5-1
libabw 0.1.3-3
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libadwaita 1:1.4.0-1
libaec 1.0.6-1
libaio 0.3.113-2
libakonadi 23.08.2-1
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-1
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libatomic_ops 7.8.0-1
libavc1394 0.5.4-6
libavif 1.0.1-4
libavtp 0.2.0-2
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-2
libblockdev 3.0.4-1
libbluray 1.3.4-1
libbpf 1.2.2-1
libbraiding 1.2-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libburn 1.5.6-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcacard 2.7.0-3
libcamera 0.1.0-2
libcamera-ipa 0.1.0-2
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcddb 1.3.2-7
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libcdr 0.1.7-6
libchamplain 0.12.21-1
libcheese 44.1-2
libcloudproviders 0.3.4-1
libcolord 1.4.6-1
libconfig 1.7.3-2
libcroco 0.6.13-2
libcue 2.3.0-1
libcups 1:2.4.7-2
libcurl-gnutls 8.4.0-2
libdaemon 0.14-5
libdatrie 0.2.13-4
libdazzle 3.44.0-1
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.12-1
libdecor 0.2.0-1
libdispatch 5.5.0-1
libdisplay-info 0.1.1-3
libdmapsharing 3.9.13-1
libdmtx 0.7.7-1
libdrm 2.4.117-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-14
libebml 1.4.4-1
libebur128 1.2.6-1
libedataserverui4 3.50.1-1
libedit 20230828_3.1-1
libei 1.1.0-1
libelf 0.189-3
libepoxy 1.5.10-2
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libev 4.33-2
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libexttextcat 3.4.6-1
libfakekey 0.3-2
libfbclient 4.0.0.2496-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfilezilla 1:0.45.0-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libgadu 1.12.2-13
libgcrypt 1.10.2-1
libgdata 0.18.1-3
libgdm 45.0.1-1
libgee 0.20.6-1
libgexiv2 0.14.2-1
libgirepository 1.78.1-1
libgit2 1:1.7.1-1
libglvnd 1.7.0-1
libgme 0.6.3-4
libgnomekbd 1:3.28.1-1
libgoa 3.48.0-2
libgpg-error 1.47-1
libgphoto2 2.5.31-1
libgravatar 23.08.2-1
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.50-1
libgssglue 0.7-1
libgtop 2.41.2-1
libgudev 238-1
libgusb 0.4.7-1
libgweather 40.0+r87+g80e5a652-2
libgweather-4 4.4.0-1
libgxps 0.3.2-4
libhandy 1.8.2-1
libheif 1.17.1-1
libhomfly 1.02r6-2
libibus 1.5.28-4
libical 3.0.17-1
libice 1.1.1-2
libid3tag 0.15.1b-12
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libieee1284 0.2.11-15
libimagequant 4.2.1-1
libimobiledevice 1.3.0-9
libindicator-gtk3 12.10.1-10
libinih 57-1
libinput 1.24.0-1
libinstpatch 1.1.6-2
libiptcdata 1.0.5-2
libisl 0.26-1
libixion 0.19.0-1
libjpeg-turbo 3.0.1-1
libjxl 0.8.2-2
libkate 0.4.1-9
libkcddb 23.08.2-1
libkcompactdisc 23.08.2-1
libkdcraw 23.08.2-1
libkdegames 23.08.2-1
libkdepim 23.08.2-1
libkeduvocdocument 23.08.2-1
libkexiv2 23.08.2-1
libkeybinder3 0.3.2-4
libkgapi 23.08.2-1
libkleo 23.08.2-1
libkmahjongg 23.08.2-1
libkolabxml 1.2.1-3
libkomparediff2 23.08.2-1
libksane 23.08.2-1
libksba 1.6.4-1
libkscreen 5.27.9-1
libksieve 23.08.2-1
libksysguard 5.27.9-1
libktorrent 23.08.2-1
liblangtag 0.6.4-1
libldac 2.0.2.3-1
libldap 2.6.6-2
libldap24 2.4.59-1
liblouis 3.27.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.45.0_0-1
libmad 0.15.1b-10
libmalcontent 0.11.1-2
libmanette 0.2.6-5
libmatroska 1.7.1-1
libmaxminddb 1.7.1-1
libmbim 1.30.0-1
libmcrypt 2.5.8-6
libmd 1.1.0-1
libmediaart 1.9.6-2
libmemcached-awesome 1.1.4-2
libmfx 23.2.2-2
libmicrodns 0.2.0-1
libmm-glib 1.22.0-1
libmms 0.6.4-4
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpdclient 2.20-3
libmpeg2 0.5.1-8
libmspack 1:0.11alpha-1
libmspub 0.1.4-14
libmsym 0.2.3-8
libmtp 1.1.21-1
libmusicbrainz5 5.1.0-5
libmwaw 0.3.22-1
libnautilus-extension 45.1-1
libndp 1.8-1
libnet 2:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.6-1
libnghttp2 1.58.0-1
libnice 0.1.21-2
libnl 3.8.0-1
libnm 1.44.2-3
libnma 1.10.6-2
libnma-common 1.10.6-2
libnma-gtk4 1.10.6-2
libnotify 0.8.3-1
libnsl 2.0.1-1
libnss_nis 3.2-1
libnumbertext 1.0.11-1
liboauth 1:1.0.3+r16+gc26f038-1
libodfgen 0.1.8-2
libofa 0.9.3-9
libogg 1.3.5-1
libolm 3.2.15-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.3-1
liborcus 0.19.1-1
libosinfo 1.10.0-3
libotr 4.1.1-4
libp11-kit 0.25.1-1
libpagemaker 0.0.4-3
libpaper 2.1.2-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpeas 1.36.0-4
libpgm 5.3.128-3
libphonenumber 1:8.13.22-1
libpipeline 1.5.7-1
libpipewire 1:0.3.83-1
libplacebo 5.264.1-4
libplist 2.3.0-2
libpng 1.6.40-2
libpng12 1.2.59-2
libportal 0.7.1-2
libportal-gtk3 0.7.1-2
libportal-gtk4 0.7.1-2
libproxy 0.5.3-2
libpsl 0.21.2-1
libpulse 16.1-6
libpurple 2.14.12-2
libpwquality 1.4.5-3
libqaccessibilityclient 0.4.1-2
libqalculate 4.8.1-1
libqmi 1.34.0-1
libqrtr-glib 1.2.2-2
libquotient 0.8.1.2-1
libqxp 0.0.2-10
libraqm 0.10.1-1
libraw 0.21.1-2
libraw1394 2.1.2-3
libreoffice-fresh 7.6.2-3
librest 0.9.1-2
librevenge 0.0.5-2
librsvg 2:2.57.0-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.4-2
libsecret 0.21.1-1
libshout 1:2.4.6-2
libshumate 1.1.1-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsigsegv 2.14-2
libslirp 4.7.0-1
libsm 1.2.4-1
libsndfile 1.2.2-1
libsodium 1.0.19-2
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libspeechd 0.11.5-1
libspiro 1:20221101-2
libsrtp 1:2.5.0-1
libssh 0.10.5-1
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2023.66984-16
libsysprof-capture 45.1-1
libtar 1.2.20-6
libtasn1 4.19.0-1
libteam 1.32-1
libtermkey 0.22-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-1
libtirpc 1.3.4-1
libtommath 1.2.1-1
libtool 2.4.7+4+g1ec8fa28-6
libtorrent-rasterbar 1:2.0.9-3
libtraceevent 1:1.7.3-1
libtracefs 1.7.0-1
libunistring 1.1-2
libunwind 1.7.2-1
libupnp 1.14.18-1
liburcu 0.14.0-1
liburing 2.4-1
libusb 1.0.26-2
libusbmuxd 2.0.2-3
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.46.0-1
libva 2.20.0-1
libvdpau 1.5-2
libverto 0.3.2-4
libvirt 1:9.7.0-1
libvisio 0.1.7-9
libvisual 0.4.2-1
libvncserver 0.9.14-2
libvorbis 1.3.7-3
libvpx 1.13.1-1
libvterm 0.3.3-1
libvterm01 0.1.4-2
libwacom 2.8.0-1
libwbclient 4.19.2-1
libwebp 1.3.2-1
libwnck3 43.0-3
libwpd 0.10.3-4
libwpe 1.14.1-2
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml++2.6 2.42.1-1
libxml2 2.11.5-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxnvctrl 535.113.01-1
libxp 1.0.4-2
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
libzmf 0.0.2-14
licenses 20231011-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lilv 0.24.20-2
linbox 1.7.0-1
linux 6.5.9.arch2-1
linux-api-headers 6.4-1
linux-firmware 20230918.3672ccab-1
linux-firmware-whence 20230918.3672ccab-1
linux-headers 6.5.9.arch2-1
linux-lts 6.1.60-1
linux-lts-headers 6.1.60-1
llvm 16.0.6-1
llvm-libs 16.0.6-1
llvm14 14.0.6-3
llvm14-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lokalize 23.08.2-1
loupe 45.0-1
lpsolve 5.5.2.11-2
lrcalc 2.1-4
lsb-release 2.0.r53.a86f885-1
lskat 23.08.2-1
lsof 4.98.0-2
lua 5.4.6-2
lua-lpeg 1.1.0-1
lua52 5.2.4-6
lua53 5.3.6-2
lua53-lpeg 1.1.0-1
luajit 2.1.1697887905-1
lutris 0.5.14-1
lv2 1.18.10-1
lvm2 2.03.22-2
lxappearance 0.6.3-4
lynx 2.8.9-7
lz4 1:1.9.4-1
lzip 1.23-2
lzo 2.10-5
m4 1.4.19-3
m4ri 20200125-2
m4rie 20200125-2
maeparser 1.3.1-2
mailcap 2.1.54-1
mailcommon 23.08.2-1
mailimporter 23.08.2-1
maim 5.7.4-6
make 4.4.1-2
malcontent 0.11.1-2
man-db 2.12.0-1
marble 23.08.2-1
marble-common 23.08.2-1
mariadb 11.1.2-1
mariadb-clients 11.1.2-1
mariadb-libs 11.1.2-1
markdownpart 23.08.2-1
mathjax2 2.7.9-1
maven 3.8.7-1
maxima 5.47.0-6
maxima-ecl 5.47.0-6
maxima-fas 5.47.0-6
mbedtls 3.4.1-1
mbox-importer 23.08.2-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
merkuro 23.08.2-2
mesa 1:23.2.1-2
mesa-demos 9.0.0-3
mesa-utils 9.0.0-3
meson 1.2.3-1
messagelib 23.08.2-1
metasploit 6.3.39-1
metis 5.1.0.p10-2
mhash 0.9.9.9-5
milou 5.27.9-1
minizip 1:1.3-2
minuet 23.08.2-1
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mlocate 0.26.git.20170220-7
mlt 7.20.0-1
mobile-broadband-provider-info 20230416-1
mod_dnssd 0.6-9
modemmanager 1.22.0-1
modemmanager-qt5 5.111.0-1
molequeue 0.9.0-3
mongo-c-driver 1.24.4-1
mpfi 1.5.4-4
mpfr 4.2.1-1
mpg123 1.32.3-1
mpv 1:0.36.0-1
msgpack-c 5.0.0-1
msr-tools 1.3-4
mtdev 1.1.6-2
mtools 1:4.0.43-1
mtr 0.95-4
mujs 1.3.3-1
multipath-tools 0.9.6-1
mutter 45.0+r49+g8d3d8b86e5-1
mycli 1.25.0-1
mysql-workbench 8.0.34-2
nano 7.2-1
nautilus 45.1-1
nauty 1:2.8.6-2
ncompress 5.0-2
ncurses 6.4_20230520-1
ndctl 76.1-1
neochat 23.08.2-2
neofetch 7.1.0-2
neon 0.32.5-2
neovim 0.9.4-2
net-snmp 5.9.1-8
net-tools 2.10-2
netctl 1.29-1
netdiscover 208.3402efe-1
netpbm 10.73.43-2
netstandard-targeting-pack 7.0.13.sdk113-1
nettle 3.9.1-1
networkmanager 1.44.2-3
networkmanager-openvpn 1.10.2-3
networkmanager-qt5 5.111.0-1
nftables 1:1.0.9-1
ngrok 2.3.40-1
nikto 2.1.6-3
ninja 1.11.1-3
nm-connection-editor 1.34.0-1
nmap 7.94-2
node-gyp 9.4.1-1
nodejs 20.9.0-1
nodejs-nopt 7.2.0-1
notion-app 2.0.18-1
noto-fonts 1:23.10.1-1
noto-fonts-emoji 20220920-1
npm 10.2.1-1
npth 1.6-4
nspr 4.35-1
nss 3.94-1
ntfs-3g 2022.10.3-1
ntfs3-dkms 1:5.17-1
ntl 11.5.1-1
numactl 2.0.16-1
nvidia-prime 1.0-4
nvidia-settings 535.113.01-1
nvidia-utils 535.113.01-2
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
okular 23.08.2-1
onetbb 2021.10.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
openbabel 3.1.1-7
opencl-nvidia 535.113.01-2
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjade 1.3.2-7
openjpeg2 2.5.0-3
openldap 2.6.6-2
openmpi 4.1.5-5
openpmix 4.2.6-1
openresolv 3.13.2-1
opensp 1.5.2-10
openssh 9.5p1-1
openssl 3.1.4-1
openssl-1.0 1.0.2.u-1
openssl-1.1 1.1.1.w-1
openvpn 2.6.6-1
opus 1.4-1
orc 0.4.34-1
orca 45.1-1
os-prober 1.81-1
osinfo-db 20230518-1
ostree 2023.7-1
oxygen 5.27.9-1
oxygen-sounds 5.27.9-1
p11-kit 0.25.1-1
p3x-onenote 2022.4.114-1
p7zip 1:17.05-2
pacman 6.0.2-8
pacman-contrib 1.9.1-1
pacman-mirrorlist 20231001-1
pahole 1:1.25-4
palapeli 23.08.2-1
palp 1:2.20-1
pam 1.5.3-3
pambase 20230918-1
pandoc-cli 0.1.1-59
pango 1:1.51.1-1
pangomm 2.46.3-1
pari 2.15.4-1
pari-galdata 20080411-3
pari-seadata-small 20090618-3
parley 23.08.2-1
parted 3.6-1
partitionmanager 23.08.2-1
patch 2.7.6-10
patchelf 0.18.0-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
pdfgrep 2.1.2-3
pdfslicer 1.8.8-2
perl 5.38.0-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-basedir 0.09-3
perl-file-desktopentry 0.22-11
perl-file-listing 6.16-2
perl-file-mimeinfo 0.33-2
perl-file-which 1.27-3
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.45-1
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-ipc-system-simple 1.30-5
perl-json 4.10-1
perl-libwww 6.72-1
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
perl-net-http 6.23-2
perl-net-ssleay 1.92-3
perl-sgmls 1:1.1-10
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.21-1
perl-www-robotrules 6.02-12
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-5
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-sax-expat 0.51-7
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
php 8.2.12-1
picmi 23.08.2-1
picom-jonaburg-git 0.1-5
pim-data-exporter 23.08.2-1
pim-sieve-editor 23.08.2-1
pimcommon 23.08.2-1
pinentry 1.2.1-3
pipewire 1:0.3.83-1
pipewire-media-session 1:0.4.2-2
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
planarity 3.0.2.0-1
plasma-browser-integration 5.27.9-1
plasma-desktop 5.27.9-1
plasma-disks 5.27.9-1
plasma-firewall 5.27.9-1
plasma-framework5 5.111.0-1
plasma-integration 5.27.9-1
plasma-meta 5.27-3
plasma-nm 5.27.9-1
plasma-pa 5.27.9-1
plasma-systemmonitor 5.27.9-1
plasma-thunderbolt 5.27.9-1
plasma-vault 5.27.9-1
plasma-welcome 5.27.9-1
plasma-workspace 5.27.9.1-1
plasma-workspace-wallpapers 5.27.9-1
plasmatube 23.08.2-2
playerctl 2.4.1-3
plfit 0.9.4-1
pngquant 3.0.1-5
polenum 19.6fb4e3b-1
polkit 123-1
polkit-kde-agent 5.27.9-1
polkit-qt5 0.114.0-2
polybar-git 3.6.0.r2.g219171cf-1
pomodoro r22.41b74d5-1
poppler 23.10.0-1
poppler-data 0.4.12-1
poppler-glib 23.10.0-1
poppler-qt5 23.10.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 15.4-2
potrace 1.16-2
powerdevil 5.27.9-2
poxml 23.08.2-1
ppl 1.2-5
ppp 2.5.0-1
primecount 7.9-1
primesieve 11.1-1
print-manager 23.08.2-1
prison5 5.111.0-1
procps-ng 4.0.4-2
progress 0.17-1
proj 9.3.0-1
properties-cpp 0.0.2-1
protobuf 24.4-1
protobuf-c 1.4.1-4
proxychains-ng 4.16-2
psmisc 23.6-1
pugixml 1.14-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
pulseaudio-equalizer-ladspa 3.0.2-6
pulseaudio-qt 1.3-1
purpose5 5.111.0-1
pyside2 5.15.11-1
python 3.11.5-2
python-aiosqlite 0.19.0-3
python-anyio 3.7.1-1
python-appdirs 1.4.4-9
python-argon2-cffi-bindings 21.2.0-4
python-argon2_cffi 23.1.0-1
python-argparse 1.4.0-14
python-arrow 1.3.0-1
python-asgiref 3.7.2-1
python-astroid 2.15.6-1
python-asttokens 2.4.1-1
python-async-lru 2.0.4-1
python-async_generator 1.10-8
python-atspi 2.46.0-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-automat 22.10.0-3
python-babel 2.12.1-1
python-backcall 0.2.0-8
python-beautifulsoup4 4.12.2-1
python-bleach 6.1.0-1
python-cachecontrol 1:0.13.1-1
python-cached-property 1.5.2-6
python-cairo 1.25.1-1
python-capng 0.8.3-2
python-certifi 2023.07.22-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.1-1
python-cli_helpers 2.3.0-2
python-click 8.1.7-1
python-colorama 0.4.6-2
python-comm 0.1.4-1
python-commonmark 0.9.1-9
python-configobj 5.0.8-4
python-constantly 15.1.0-13
python-contextlib2 21.6.0-2
python-contourpy 1.1.1-1
python-cryptography 41.0.5-1
python-cvxopt 1.3.2-3
python-cycler 0.12.0-1
python-cypari2 2.1.4-1
python-cysignals 1.11.4-1
python-dateutil 2.8.2-5
python-debugpy 1.8.0-1
python-decorator 5.1.1-3
python-defusedxml 0.7.1-5
python-deprecation 2.1.0-8
python-dill 0.3.7-1
python-distlib 0.3.7-1
python-distro 1.8.0-3
python-django 4.2.6-1
python-dnspython 1:2.4.2-1
python-docutils 1:0.20.1-1
python-dulwich 0.21.6-2
python-entrypoints 0.4-3
python-evdev 1.6.1-2
python-executing 2.0.0-1
python-fastbencode 0.2-2
python-fastjsonschema 2.18.1-1
python-flask 2.3.3-1
python-flask-cors 4.0.0-1
python-fonttools 4.43.1-1
python-fpylll 0.6.0-1
python-fqdn 1.5.1-2
python-future 0.18.3-2
python-gmpy2 2.1.5-2
python-gobject 3.46.0-1
python-html2text 2020.1.16-9
python-html5lib 1.1-13
python-hyperlink 21.0.0-5
python-idna 3.4-3
python-imagesize 1.4.1-4
python-importlib-metadata 5.0.0-5
python-incremental 22.10.0-3
python-inflect 7.0.0-2
python-installer 0.7.0-3
python-ipykernel 6.26.0-1
python-ipython-genutils 0.2.0-2
python-ipywidgets 8.1.1-1
python-isoduration 20.11.0-3
python-isort 5.12.0-2
python-itsdangerous 2.1.2-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jedi 0.19.1-1
python-jinja 1:3.1.2-4
python-json-logger 2.0.7-2
python-json5 0.9.14-1
python-jsonpointer 2.4-1
python-jsonschema 4.19.1-1
python-jupyter-client 8.5.0-1
python-jupyter-core 5.4.0-1
python-jupyter-events 0.8.0-1
python-jupyter-packaging 0.12.3-4
python-jupyter-server-terminals 0.4.4-4
